T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
16.5,24,11,70,0,2.1,8,16.5,284.79583333333335
16,24.7,9.8,81,0,1.8,4.3,13,219.72083333333333
16.3,23.6,10.8,78,0,2.4,3.9,13,182.1875
17.3,24.1,14,63,0,2.9,6.1,18.3,154.03750000000002
15.6,22.4,10,58,0,2.6,12.2,20.6,223.20833333333334
14.6,20.7,9,52,0,2.6,5.9,18.3,200.64583333333337
12.5,20,4,39,0,3.2,2.6,11.1,285.22499999999997
14.1,20.6,5,43,0,2.9,6.1,13,236.82499999999996
15.1,21,7.9,46,0,2.7,7.2,16.5,276.90833333333336
15.7,23,6.7,35,0,3.7,8.5,16.5,108.0
15.3,23.3,7.2,40,0,3.7,0.9,11.1,107.625
16.3,22.6,9.3,48,0,2.7,1.5,13,125.89166666666667
21.5,28.8,17.2,62,0,2.9,9.6,16.5,181.01250000000005
14.3,19,10.8,83,0,2.7,7.8,14.8,152.32083333333335
19.2,26,11,60,0,3.1,5.4,13,319.7375
18.7,26.9,12.1,64,0,3.1,4.4,11.1,332.7083333333333
18.8,24.8,14.1,62,0,3.5,3.5,14.8,279.59999999999997
19.1,25,13.6,69,0,3.4,3.5,13,179.11666666666667
16.7,24,8,36,0,4.5,1.9,13,54.791666666666664
18.3,25,9.5,41,0,3.7,1.7,11.1,93.375
17.8,25.1,11,35,0,4.5,3.3,16.5,103.0
18.7,26,11,37,0,3.9,2.4,9.4,132.20833333333334
19,27,8.8,33,0,3.7,1.9,5.4,127.70833333333333
20.9,28.7,11.6,31,0,4.2,2.2,9.4,109.33333333333333
25.5,33,16,31,0,4.3,5,22.2,56.458333333333336
24.3,33.7,17.4,29,0,3.7,9.4,35.2,135.83333333333334
22.7,30,14,21,0,4.5,4.3,20.6,69.66666666666667
21.6,30.3,13.6,23,0,4.3,3.3,14.8,79.83333333333333
23.3,31,12.9,24,0,4.8,7,13,62.708333333333336
25.9,33.7,18,32,0,4.5,8,18.3,21.208333333333332
22.2,29.8,17,30,0,4.8,9.8,14.8,1.8333333333333333
23.9,30.6,16.7,23,0,4.2,10.4,18.3,105.83333333333333
23.6,31,18,34,0,3.9,7.2,24.1,117.58333333333333
19.8,26,11.1,30,0,4.2,7.2,14.8,111.95833333333333
21.7,27,14.4,27,0,3.7,7,18.3,59.208333333333336
23.5,30.2,16.9,26,0,3.9,5,13,77.20833333333333
25.2,32,16.9,28,0,3.5,4.6,18.3,123.70833333333333
27.2,34,16.7,24,0,4.2,3.1,13,64.79166666666667
29.5,36,21,23,0,3.9,5,16.5,52.333333333333336
30.6,37,21.4,22,0,3.9,4.4,14.8,52.041666666666664
31.8,40.2,21.3,21,0,4.2,5.2,20.6,128.33333333333334
32.7,41.4,22.4,13,0,4.5,9.6,18.3,0.0
33.1,39.9,25,14,0,4.7,8.3,16.5,23.208333333333332
33.3,40.3,25.6,17,0,5,5.9,16.5,15.166666666666666
33.7,39.8,23.8,18,0,4.3,9.3,29.4,21.25
28.7,36,22,7,0,3.7,8.1,18.3,81.83333333333333
28.4,34.8,19.5,7,0,4.3,6.7,18.3,105.33333333333333
28.4,34.6,21,9,0,4.5,9.8,18.3,117.75
33.3,40.5,23,11,0,4.3,5,14.8,84.5
33.9,42,24,12,0,4.2,4.6,18.3,46.916666666666664
34.5,42.4,25.1,11,0,4.2,8.3,20.6,104.625
29.6,37,20.6,24,0,4.7,9.6,25.9,79.91666666666667
32.1,39.5,23,17,0,4.8,11.3,22.2,0.0
32.6,39.4,27,10,0,4.5,10.2,18.3,94.75
33.8,40,24.4,11,0,4.3,7.8,16.5,142.5
37.2,44,29.8,13,0,3.7,16.7,46.5,147.83333333333334
36.9,42,28.1,17,0,4.3,8.1,18.3,101.5
37.1,43,30.5,15,0,4.2,16.5,29.4,106.5
36.2,43.5,31,17,0,3.9,16.9,29.4,128.125
34.1,43,23.5,26,0,3.4,15.9,35.2,101.95833333333333
34.5,43.6,27.1,25,0,3.1,5.9,14.8,98.41666666666667
35.6,41.2,25.8,27,0,4.5,8.7,20.6,107.625
38.3,44,29.6,21,0,4,13.5,24.1,110.41666666666667
38.3,45,32,18,0,4.5,14.8,25.9,95.83333333333333
33.3,39,23.3,47,0,4,3.7,13,45.375
36.9,43,28.8,25,0,4.2,12,77.8,65.16666666666667
32.7,41.2,28,48,0,3.2,15.7,29.4,66.08333333333333
34.1,41,29,34,0,4.2,16.1,27.8,77.0
34.7,40,30,41,0,3.9,14.8,27.8,80.625
33.9,40.3,26,42,0,3.9,15.4,25.9,90.70833333333333
35.3,40,30,41,0,4.2,4.4,20.6,50.708333333333336
33.5,40.8,29,53,11.94,3.9,8.5,22.2,40.375
29.4,35.2,25,78,0,3.2,6.5,14.8,61.875
29.8,34.2,25.4,74,0,4,6.9,22.2,0.0
30.4,34.6,26,70,0,3.7,13.5,22.2,29.666666666666668
32.3,36.8,26.5,49,0,4.2,14.6,22.2,49.125
33.3,37.2,27.4,46,0,4.5,13.3,20.6,43.666666666666664
33.6,38.2,28.4,44,0,4,15.4,27.8,29.833333333333332
30.7,35.4,26.5,65,0,4,15.6,29.4,37.625
30.1,36,26,73,0,3.7,10,25.9,36.0
26.7,29,21.9,86,0,3.5,10.4,22.2,33.166666666666664
28.9,32.6,24.1,79,0,3.4,12,20.6,38.25
30.2,34,24.4,70,0,4,10.4,18.3,26.583333333333332
27.4,30,23.4,87,0,2.9,12.8,20.6,41.375
27.3,30.5,23.2,82,0,3.7,12.8,22.2,25.541666666666668
27.3,31.6,22.9,80,0,3.7,15,20.6,28.375
28.1,32.6,24,88,3.05,2.4,9.6,14.8,35.375
27.1,31,24.2,88,0,2.6,12.6,22.2,31.916666666666668
28.1,32,24,74,0,3.9,14.6,20.6,35.291666666666664
28,33,23.5,73,0,3.9,12.4,18.3,26.833333333333332
29.4,34,24.4,67,0,3.4,14.4,20.6,21.125
30.6,36.3,26.5,67,0,3.2,12.6,22.2,35.708333333333336
30.8,35,25,68,0,3.9,14.6,22.2,43.583333333333336
31.3,36,25.3,65,0,4.2,13.1,18.3,46.041666666666664
29.3,33,26,77,0,3.1,6.9,14.8,30.666666666666668
27.2,32.2,23,84,20.07,3.1,12.6,20.6,34.416666666666664
27.4,32.2,21.6,81,0,3.2,7.8,14.8,30.333333333333332
28.4,34.6,25.3,71,0,3.1,2.8,16.5,0.0
30.2,35,25.8,61,0,3.2,2.8,13,0.0
30.9,36,24.4,57,0,3.5,1.3,9.4,0.0
30.4,35.6,24,61,0,3.2,0.6,9.4,71.66666666666667
31.1,37.4,21,34,0,3.9,1.9,13,69.70833333333333
31.3,37.5,24.2,37,0,3.5,1.1,11.1,62.375
30.3,37.2,25,61,0,3.4,5.7,13,24.875
30.6,36.4,26,45,0,3.5,9.8,16.5,43.958333333333336
30.6,36.4,25.7,45,0,3.9,4.8,14.8,41.5
31.7,37,26.4,34,0,3.5,7.2,18.3,38.791666666666664
31.7,38.4,23.4,27,0,3.9,6.1,14.8,30.333333333333332
31.7,37.9,24.7,26,0,3.9,6.5,13,26.666666666666668
31.4,38,24,24,0,3.9,8.7,16.5,29.0
30,36.7,21.5,31,0,3.7,4.3,14.8,61.708333333333336
30,37,22.3,30,0,3.4,3.9,14.8,60.541666666666664
30.1,37,23.9,30,0,3.5,4.8,18.3,41.583333333333336
29.8,37.6,22.2,25,0,3.5,4.3,13,80.04166666666667
29.9,38,22,19,0,3.5,5.2,14.8,82.83333333333333
30.4,38.2,21.5,20,0,3.7,7.2,22.2,95.25
28.7,36.6,20.8,33,0,3.1,3.3,11.1,126.16666666666667
29.2,36,21.3,29,0,2.7,2.6,13,136.70833333333334
28.7,36.7,21,23,0,3.1,4.6,14.8,160.66666666666666
27.1,34.9,18.5,23,0,3.1,3.1,9.4,245.66666666666666
27.6,34.7,21,22,0,3.1,5.6,13,261.6666666666667
26.5,34.8,19.2,27,0,2.9,3.5,13,272.4166666666667
24.9,33.2,17.8,34,0,2.7,3.3,11.1,149.625
25.6,33.2,17.3,28,0,3.1,3.3,13,99.70833333333333
26.7,33.7,17.8,26,0,3.1,3.5,16.5,217.375
25.9,33.4,17.8,32,0,2.9,2.8,13,309.375
23.8,31,16.8,38,0,2.4,1.5,9.4,321.5416666666667
24.1,32,17,32,0,2.4,1.3,11.1,278.0
23.8,31,17,31,0,2.6,2.4,9.4,192.33333333333334
22.3,31,14.5,35,0,2.4,1.9,9.4,224.16666666666666
22.8,30.3,17,37,0,2.4,6.7,14.8,196.75
22.8,28.7,17.8,42,0,2.4,7.2,13,221.54166666666666
20.2,25,13,38,0,1.8,4.4,9.4,166.70833333333334
18.4,25.8,12,30,0,2.6,3.9,11.1,130.70833333333334
19.1,25.9,11.5,26,0,2.9,4.3,13,194.70833333333334
19.2,28,10.8,26,0,2.6,2.4,9.4,134.45833333333334
18.8,28.9,11.2,30,0,2.1,2.4,9.4,110.0
20.4,29,11,26,0,2.7,4.4,14.8,160.0
20.1,28.6,12.3,32,0,2.4,4.8,14.8,118.91666666666667
19.4,29,14,33,0,2.9,5.6,13,176.375
19.2,26.5,13,35,0,2.4,3.7,11.1,185.95833333333334
18.2,24.7,12,34,0,3.2,3.3,13,239.125
18.6,26,10.3,34,0,2.9,1.9,11.1,365.2916666666667
19.2,27,10.8,41,0,2.7,1.3,11.1,312.2083333333333
14.9,23,9.4,62,0,2.1,4.1,14.8,121.33333333333333
16.6,23,10,43,0,2.7,5.2,14.8,202.875
16.4,23.4,9.8,38,0,3.5,6.7,13,260.1666666666667
18.1,26,10.3,35,0,2.1,0.7,7.6,277.7083333333333
18.6,26.1,12,38,0,2.3,1.3,7.6,284.1666666666667
19,27,10.8,40,0,2.7,1.9,13,288.4166666666667
18.1,25.4,10.3,36,0,2.9,3.7,11.1,166.91666666666666
17.1,25.2,10,42,0,2.4,2.4,9.4,169.0
17.2,25.7,9.9,39,0,2.7,2,9.4,186.04166666666666
