T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
15.2,22.5,8.5,47,0,2.1,3.3,13,255.875
14.4,23.1,7,49,0,2.1,0.6,9.4,217.08333333333334
14.2,22.7,6.1,45,0,2.1,3.1,9.4,229.16666666666666
15.5,24,7.7,34,0,2.4,2.2,11.1,298.4583333333333
14.9,22.5,7.5,35,0,2.7,1.5,11.1,264.9166666666667
15.2,23.1,6.9,40,0,2.6,1.9,9.4,404.5
18.8,26,12,35,0,2.6,4.4,14.8,188.5
18,26.6,10,36,0,2.6,2,13,164.75
17.1,26.5,8.7,26,0,2.6,3.7,13,376.9166666666667
19.9,27.9,11.2,42,0,2.6,5.2,13,0.0
17.1,27.9,10,33,0,2.6,3.1,14.8,0.0
17.3,25,8.3,36,0,2.4,5.2,13,57.0
15,23,7.6,52,0,2.3,3.9,11.1,202.91666666666666
17,25,8.8,38,0,2.6,6.3,16.5,205.125
17.2,25.3,9.8,42,0,2.4,5.7,14.8,214.125
21.3,29.2,15,30,0,2.6,7.4,18.3,315.7916666666667
21.5,30,12.6,30,0,3.1,4.6,20.6,322.25
21.5,29.7,13.7,34,0,2.7,5.4,16.5,246.04166666666666
19.6,28.7,13,29,0,2.9,8.7,16.5,200.91666666666666
17.6,24,11,24,0,2.6,3.1,13,99.5
18.1,25.4,10.7,29,0,3.1,6.5,14.8,143.91666666666666
18.4,25,10.3,26,0,3.1,4.4,11.1,100.25
18.8,25.7,13,42,0,2.7,5.6,13,165.0
18.7,25,11,37,0,3.1,5,14.8,116.45833333333333
19.6,27,11.6,40,0,3.1,5,14.8,143.0
21.8,29,14,32,0,3.5,5.2,11.1,231.125
23.3,31,15,29,0,3.1,3.7,11.1,218.66666666666666
24.6,33,15.7,31,0,3.1,5,18.3,211.0
25.1,33.2,17,29,0,3.5,7.2,16.5,52.208333333333336
24.5,31,14.8,31,0,3.5,6.3,18.3,187.5
25.7,32,16.7,35,0,3.2,7,13,130.16666666666666
26.4,34,20.4,36,0,3.1,5.9,14.8,123.125
26.3,34,20,28,0,3.2,5.4,14.8,120.91666666666667
26.8,34,19,22,0,3.2,9.3,24.1,153.625
24.8,32,15.3,21,0,3.4,5.7,13,130.33333333333334
25.8,33,15.5,19,0,3.5,9.1,14.8,110.70833333333333
26.9,33,19.1,22,0,3.2,10.2,18.3,138.5
27.9,36,19.3,17,0,3.1,5.2,18.3,75.75
27.1,36.5,21,21,0,3.4,9.6,18.3,146.54166666666666
26.8,33.1,20.8,23,0,3.5,8.5,18.3,116.625
25.8,33.9,20.7,25,0,2.7,8.1,16.5,80.04166666666667
28.2,34,20.9,25,0,3.4,10.2,16.5,100.04166666666667
26.6,34.5,20.5,23,0,2.9,11.9,27.8,109.45833333333333
27.1,35,18.7,22,0,3.2,6.1,24.1,110.16666666666667
27.4,36,18.5,17,0,2.9,4.4,14.8,108.20833333333333
29.9,38,19.3,10,0,2.9,5.9,16.5,103.83333333333333
30.6,39,20.7,15,0,2.9,9.8,18.3,74.29166666666667
30.3,39.4,21.6,21,0,3.2,8.1,14.8,101.79166666666667
31.2,38.5,24.4,22,0,3.4,8,18.3,106.16666666666667
32.4,39,23.5,14,0,3.2,6.1,14.8,89.875
29.7,39.3,21,32,0,2.7,4.6,11.1,48.208333333333336
31.6,37,24.4,31,0,2.4,9.4,14.8,47.041666666666664
30.6,37.2,25,33,0,2.9,10.9,25.9,67.79166666666667
30.5,36,22.3,18,0,3.2,6.1,13,56.666666666666664
31.7,38,23.4,16,0,3.2,6.7,16.5,79.0
32.8,40,24.7,18,0,2.7,6.1,29.4,123.58333333333333
33.2,39.4,24.6,14,0,3.1,7,22.2,80.29166666666667
32.3,39.9,26.6,15,0,2.1,15,29.4,137.875
30.3,38.8,24.8,11,0,2.6,9.8,16.5,87.875
34.3,40,25.9,10,0,3.4,10.4,18.3,121.20833333333333
34.9,41.5,29,13,0,3.4,11.5,22.2,97.04166666666667
35.3,44.2,27.1,23,0,2.7,8.3,27.8,130.625
34,43.1,27,27,0,2.9,12.6,33.5,90.5
32.9,42.7,24.9,31,0,2.7,14.6,29.4,55.416666666666664
33.9,42.3,26,18,0,3.2,11.3,37,108.33333333333333
30.5,40.6,25,29,0,2.9,15.2,46.5,198.875
32.6,39,25.2,25,0,3.4,10.9,25.9,120.70833333333333
34.3,41.9,25.8,23,0,2.7,10.4,27.8,79.0
34,41.4,28,29,2.03,2.1,9.8,24.1,133.70833333333334
34.6,42,29,27,0,3.2,11.5,22.2,53.25
36.3,42.4,27.7,17,0,3.2,9.6,18.3,65.16666666666667
37.3,42.2,31,13,0,3.4,11.7,18.3,83.58333333333333
37.1,43,28.5,13,0,3.2,6.1,13,40.666666666666664
37.7,44,31,9,0,3.4,8.3,14.8,48.125
37.6,44.2,29.7,9,0,3.2,8,18.3,103.16666666666667
35.3,42,24.4,30,0,2.9,7,13,143.375
37.7,45,29,19,0,3.1,11.7,27.8,44.791666666666664
37.6,45.3,28.6,19,0,2.7,12,20.6,71.95833333333333
38.3,44,33.2,16,0,2.7,14.3,25.9,17.5
36,42,30.3,35,0,2.3,6.7,22.2,101.0
33.2,42.8,24,48,0,2.3,16.9,46.5,76.20833333333333
30.7,42.2,23.6,60,6.1,2.6,10.4,27.8,84.33333333333333
35.5,42.1,31,35,0,2.3,22.2,27.8,48.833333333333336
34.7,40.9,30,35,0,2.4,21.3,31.7,64.45833333333333
34.4,40,30,37,0,2.4,20.2,27.8,80.54166666666667
33.1,40.4,28,41,3.05,2.4,8.5,37,65.41666666666667
36.2,42,31,32,0,2.9,8.5,18.3,78.54166666666667
32.7,41.6,26.6,48,0,2.7,13.7,22.2,49.125
29.4,39.9,26,63,0,2.3,9.4,18.3,65.875
27.9,34.6,25,80,1.02,2.1,10.4,22.2,72.41666666666667
31.9,36,27.5,59,0,2.6,15.4,24.1,184.66666666666666
32.7,37,28,53,0,2.7,15.6,24.1,113.33333333333333
32.7,37.4,28,54,0,2.9,14.6,20.6,146.20833333333334
34.9,40,29.8,41,0,2.7,12,20.6,112.29166666666667
36.6,42,30.6,37,0,2.6,14.4,24.1,60.625
36.3,42.1,31,39,0.76,2.7,13.3,22.2,71.0
27.9,34.5,23.5,86,45.97,2.3,8.5,16.5,153.41666666666666
28.6,34,26.4,82,0.51,2.3,6.3,25.9,134.95833333333334
28.7,31,25.6,86,0,2.3,5.7,18.3,81.125
28.2,36.2,26,87,3.05,2.4,4.8,21.7,52.25
28.5,31,25,86,3.05,2.4,7.4,14.8,160.375
28.2,32,25.6,89,9.91,2.1,7.6,14.8,99.375
27.9,32.2,24.6,85,85.09,1.9,10,14.8,31.458333333333332
26.9,31.1,25.6,81,0,2.1,10.6,16.5,47.375
27.6,30,25,80,0,2.3,10.9,18.3,38.166666666666664
30.2,34,26.1,63,0,3.2,14.8,24.1,35.958333333333336
29.9,34.6,26,63,0,2.9,13.7,22.2,25.083333333333332
29.8,33,26,62,0,2.6,13.5,22.2,45.833333333333336
30,34.2,26,61,0,2.7,13.9,25.9,33.708333333333336
28.6,32,26,73,0,2.3,6.7,20.6,26.416666666666668
28.7,32.6,26,75,0,2.4,6.5,14.8,30.666666666666668
30.3,34,25.9,72,0,2.9,10.2,22.2,29.958333333333332
29.7,33,25.5,68,0,2.6,8.3,66.5,23.875
29.1,35,24.2,75,6.1,2.6,8.7,18.3,22.333333333333332
28.8,35,24,74,3.05,2.3,9.6,28.7,25.083333333333332
27.5,34.7,23,86,16,2.4,9.3,27.8,66.79166666666667
28.1,33.9,24.5,89,26.92,1.9,7.4,14.8,64.875
29.5,33.4,26.1,78,0.51,2.3,6.3,13,47.583333333333336
27.8,31,24.3,76,0,2.7,11.5,18.3,33.5
28.5,32,24,72,0,2.7,10.9,16.5,43.041666666666664
28.6,32.8,25.3,73,0,2.6,8.3,14.8,38.416666666666664
28.3,33,25.6,78,0.25,2.9,12.4,18.3,49.291666666666664
27.3,31.5,24.8,78,0,3.1,11.9,18.3,19.541666666666668
25.7,29.8,24.4,90,4.06,2.1,7.8,14.8,22.833333333333332
25.6,28,23.7,90,11.94,2.1,8.9,14.8,24.291666666666668
27.1,32.2,22.7,81,20.07,2.4,9.1,18.3,74.66666666666667
25.9,32.6,23.1,88,14.99,1.9,13.7,22.2,41.875
24.9,27,23,94,17.02,1.9,8.5,13,50.583333333333336
26.7,33.8,23,75,0,2.7,10,20.6,58.125
27.3,33,22.7,69,0,2.6,7.8,14.8,57.291666666666664
28.9,34,23.6,57,0,3.5,8,14.8,38.25
31.1,36.6,26.8,40,0,3.5,10,22.2,47.416666666666664
31.1,36.9,23.9,39,0,2.7,10.4,16.5,56.916666666666664
27.8,36.2,24.6,70,4.06,2.1,15.4,37,54.625
27.9,33,21.6,69,2.03,2.6,8,16.5,45.958333333333336
28.9,34,22.1,56,0,2.9,7.8,16.5,52.25
29.1,35,23.7,47,0,3.2,7.6,18.3,43.333333333333336
30.5,36.4,23.5,39,0,3.2,6.5,14.8,41.958333333333336
30.5,36.8,23.2,41,0,3.1,5.9,16.5,0.0
28.9,36.8,23.5,45,0.51,2.6,6.7,18.3,0.0
29.7,37.1,21.9,34,0,2.7,5.4,11.1,45.75
29.1,36.8,20.3,31,0,2.6,5.4,13,70.70833333333333
30.2,37.2,22.8,29,0,2.6,9.1,24.1,51.791666666666664
26.8,33,19.6,34,0,2.7,6.1,11.1,0.0
26.7,34,17.9,33,0,2.6,6.5,14.8,11.583333333333334
27.9,35,21,30,0,2.6,5.7,13,13.0
27.9,35,19.1,30,0,2.4,4.1,9.4,156.25
28.2,34.8,21,30,0,2.4,9.4,18.3,156.0
26.9,34.6,20,29,0,2.3,7.6,16.5,151.79166666666666
27.4,35.2,18.9,30,0,2.4,6.9,11.1,252.625
