T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
18.7,26.5,10.3,44,0,2.1,6.7,13,284.79583333333335
17.7,27.2,10,44,0,1.9,2.8,9.4,219.72083333333333
17.9,27.8,9.2,42,0,1.8,3.3,13,182.1875
20.9,29,12,43,0,2.1,3.5,11.1,154.03750000000002
19.6,28.4,12.4,46,0,2.1,7.4,14.8,223.20833333333334
17.7,26.7,10.5,43,0,2.4,5.7,16.5,200.64583333333337
18.2,27.3,10.6,49,0,2.3,6.3,13,285.22499999999997
16.4,25.9,8,59,0,1.8,4.1,9.4,236.82499999999996
14.5,24.6,6,63,0,1.9,6.5,13,276.90833333333336
12.3,20.2,4.6,76,0,1.6,5.2,16.5,107.625
12.7,21.7,5,58,0,1.6,3.1,11.1,125.89166666666667
16.2,25.5,7,48,0,2.3,6.9,11.1,181.01250000000005
17.1,25.1,10,48,0,2.3,9.4,13,152.55416666666667
18.6,25.5,10,51,0,2.1,4.4,9.4,152.32083333333335
20.7,29.3,15.5,47,0,1.8,9.6,20.6,319.7375
18.9,29.2,12,40,0,2.7,6.1,13,332.7083333333333
16.7,26.4,8.9,32,0,2.7,6.9,16.5,279.59999999999997
16.3,25,7,33,0,2.9,6.5,14.8,179.11666666666667
17.1,25.8,11.9,48,0,2.3,5.2,18.3,54.791666666666664
18.3,25.4,9.8,42,0,2.3,4.8,13,93.375
18.3,26.7,9.2,44,0,2.6,4.8,11.1,103.0
19.6,27,12,37,0,2.6,9.1,16.5,132.20833333333334
19.2,27.1,12.2,36,0,3.1,7.4,14.8,127.70833333333333
19.2,26.2,13.4,38,0,3.4,10.6,16.5,109.33333333333333
23.5,30,18,49,0,2.3,10.9,16.5,135.83333333333334
21.2,29.4,13,30,0,3.2,7.8,14.8,122.5
23.9,31.1,14.6,22,0,2.7,7.2,13,69.66666666666667
23.6,31.9,17.9,31,0,2.9,8.9,14.8,79.83333333333333
23.4,30.9,15.4,36,0,3.2,6.1,14.8,62.708333333333336
25.7,33.3,19.3,34,0,2.1,6.9,14.8,1.9166666666666667
26.7,34,17.6,31,0,3.1,6.7,24.1,1.8333333333333333
28.1,35.4,19.5,27,0,2.7,7.6,16.5,1.7916666666666667
25.1,31.5,18.5,42,0,3.2,8,16.5,117.58333333333333
24.2,31.8,17.8,41,0,3.4,6.5,11.1,122.70833333333333
25.2,31,17,33,0,3.2,7.6,14.8,76.54166666666667
23.5,33.5,17.6,34,0,3.1,8.5,18.3,59.208333333333336
24.1,30.8,16.6,35,0,2.9,10.2,18.3,77.20833333333333
23.7,31.5,16.6,33,0,3.2,6.5,13,87.83333333333333
28.4,35.4,21.2,31,0,2.6,9.8,22.2,123.70833333333333
28.6,36.2,20.4,21,0,2.7,10.2,18.3,64.79166666666667
27.6,36,21,21,0,3.1,11.3,14.8,62.875
30.9,38.8,23.2,17,0,3.1,6.9,13,52.041666666666664
26.6,38.4,23,35,0,3.1,10.2,18.3,128.33333333333334
27.8,33.2,21.8,20,0,3.4,10.4,18.3,87.58333333333333
31.3,37.4,21.4,13,0,3.1,8,16.5,23.208333333333332
32.2,40.2,24.4,20,0,3.4,8.3,18.3,15.166666666666666
32.8,40,24.5,27,0,3.1,5.4,14.8,21.25
32.4,40.8,27,22,0,3.4,10.4,18.3,25.75
29.7,38.3,23.3,21,0,3.4,11.5,22.2,105.33333333333333
30.6,35.3,24.4,15,0,3.9,8.9,16.5,117.75
31.2,37,22.4,15,0,3.4,6.9,14.8,20.791666666666668
31.9,37,22.8,17,0,3.2,10.9,20.6,46.916666666666664
33.4,39,24.3,15,0,3.4,14.3,22.2,104.625
34.4,40,27.4,17,0,3.5,11.3,22.2,109.625
32.4,38.6,26.8,18,0,3.4,10.2,16.5,42.958333333333336
32.2,38.9,25.1,16,0,2.9,13.1,79.5,0.0
33.5,38.4,26,17,0,3.1,9.1,22.2,30.875
32.4,38.8,23.8,11,0,2.9,5.9,13,79.91666666666667
33.8,39.4,25.9,13,0,3.2,7.8,16.5,0.0
33.4,39.9,25.6,15,0,2.9,7.4,22.2,0.0
35.9,42,26,10,0,3.4,10.6,20.6,142.5
35.4,43.3,29.6,15,0,2.4,15,48.2,133.375
35.3,43.1,29.5,16,0,2.3,10.6,27.8,102.41666666666667
32.8,38,23.7,24,0,3.2,5.7,13,158.29166666666666
35.3,41,26.5,19,0,3.7,5.6,11.1,149.58333333333334
34.4,42,27.3,26,0,3.4,11.1,18.3,107.29166666666667
34.9,42.3,26.8,25,0,3.1,7.4,20.6,106.5
36.1,42,28.5,24,0,3.1,8.3,18.3,128.125
36.3,43,29.9,24,0,2.6,10.9,46.5,108.0
39.3,46,29.4,15,0,2.9,9.1,16.5,98.41666666666667
39.3,46.5,30.8,17,0,2.9,10.2,22.2,94.375
39.3,46,32.2,20,0,2.6,21.3,35.2,118.5
34.6,40.6,28.6,35,0,2.4,23.9,50,110.41666666666667
35.8,40.6,28,31,0,2.3,23.7,33.5,95.83333333333333
36.1,41,30.6,25,0,2.3,23.3,38.9,93.5
34.1,41,28,33,0,2.7,13.5,27.8,38.666666666666664
36.4,42,28.1,23,0,3.4,12.6,22.2,45.375
