T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
16.2,20.7,10.5,69,0,1.6,10.2,20.6,172.75
14.6,20.7,13.6,95,2.03,1.3,7.8,20.6,146.79166666666666
15.1,18.4,12,95,0.51,1.1,2.2,7.6,113.875
15.5,26,8,64,0,1.6,4.8,13,227.0
14.7,25,6.6,62,0,1.8,5,13,231.25
15.3,26.3,6.6,60,0,1.4,4.3,13,272.125
14.5,23,6,69,0,1.3,10.2,14.8,228.79166666666666
13.9,22.6,9,80,0,1.1,7.6,13,200.875
13.4,22.3,7.8,80,0,1.1,5.2,9.4,214.04166666666666
15.6,23.9,7.4,53,0,2.1,6.9,11.1,217.25
14.6,23.9,8.9,59,0,2.4,14.6,20.6,212.45833333333334
13.3,20,9.7,91,0,1.4,8,11.1,138.79166666666666
13.5,18.4,10.2,92,0,1.6,5.7,11.1,153.08333333333334
13.4,19.8,8.7,69,0,2.1,5.2,13,159.70833333333334
15.6,24.9,6,46,0,2.7,5.9,13,151.875
17.3,24.9,10.3,52,0,3.4,14.6,20.6,224.79166666666666
18.4,24.2,13,59,0,3.2,14.4,20.6,177.625
17.6,24.2,12.7,66,0,2.6,7.4,16.5,149.625
18.6,24.3,11.8,46,0,3.1,13.7,24.1,161.16666666666666
18.8,25,14.5,55,2.03,2.6,12,20.6,136.75
18.7,25.6,13.4,50,0,3.2,8.3,14.8,50.916666666666664
20.2,29.2,10.4,39,0,2.7,7.2,18.3,120.20833333333333
23.1,31.8,14,35,0,3.2,12,27.8,137.125
21.9,31.8,13.5,43,0,2.3,7,13,197.08333333333334
24.2,32.7,16.6,43,0,2.7,7.8,14.8,166.375
24.6,33.2,16,40,0,2.9,6.9,14.8,126.58333333333333
25.1,33.2,16.5,38,0,3.1,6.5,14.8,94.91666666666667
23.6,30.8,16,27,0,3.7,12.2,25.9,133.95833333333334
20.4,27.1,15,16,0,3.4,8,14.8,69.25
20.8,28,13.3,24,0,3.5,9.3,16.5,79.29166666666667
16.5,27,14.8,97,7.11,2.3,13.3,22.2,31.625
18,24,13.4,80,24.89,3.2,8.3,14.8,20.416666666666668
18.1,24.3,13,53,0.25,3.1,5.9,16.5,61.125
22.3,30,16.4,50,0,3.1,10.9,20.6,49.583333333333336
22.1,29.6,16.5,36,0,3.7,9.6,18.3,34.916666666666664
19,29.2,13,28,0,4.2,10.4,18.3,47.5
17.4,31,15,91,1.02,1.9,13.7,38.9,56.333333333333336
17.1,21,14,97,36.07,1.9,15.7,22.2,20.291666666666668
23,30,14.8,47,0,3.1,5.6,9.4,59.166666666666664
25.2,32.4,15.6,39,0,3.4,8.5,13,83.83333333333333
26.8,33.9,19.3,40,0,3.2,7.4,14.8,89.375
30.8,37.2,24.2,29,0,3.4,10.6,16.5,101.375
29.2,36.9,23,38,0,2.7,10.4,27.8,109.75
29.5,37.8,21.6,36,0,3.2,5.9,14.8,42.916666666666664
25.7,34,19.2,56,0,2.9,8,18.3,47.25
28.5,36.1,20.4,36,0,2.9,8,14.8,81.20833333333333
29,36.4,21.6,40,0,2.6,8.3,22.2,52.291666666666664
25.4,33,18.6,51,7.11,3.2,8.3,20.6,49.5
27.7,34.3,20.4,32,0,3.4,7.2,13,75.16666666666667
27.2,35.6,18.8,32,0,3.4,6.5,16.5,53.125
24.2,30.2,19.6,57,0,3.1,15.4,25.9,54.708333333333336
25.9,31,20.3,53,0,3.4,13.3,25.9,52.625
27.4,32.7,20.2,48,0,3.2,11.1,18.3,51.375
33.1,42.4,25,27,0,2.7,5.6,13,94.33333333333333
34.4,42.4,26.9,15,0,3.1,13.9,31.7,92.91666666666667
33.1,41.8,26,17,0,3.2,8.7,18.3,80.20833333333333
33.1,41.8,25,19,0,3.5,14.1,24.1,71.66666666666667
31.2,41.8,24.3,37,0,3.4,15.2,24.1,31.833333333333332
33.8,42,25.4,26,0,3.5,10.9,20.6,47.666666666666664
32.8,43.6,25.2,18,0,3.2,9.4,18.3,48.125
33.3,40.2,25.6,18,0,2.9,8.7,16.5,56.25
34,41.4,22.4,15,0,3.1,9.3,14.8,103.41666666666667
35.8,43.7,24.2,12,0,3.2,13.5,20.6,76.875
34.6,43.6,28.2,15,0,3.1,13.1,35.2,86.375
33.3,42.4,28,16,0,3.2,11.7,25.9,77.70833333333333
32.4,39.3,26.6,32,2.03,3.7,10.6,22.2,48.5
30.7,39.3,25,36,0,3.5,7,27.8,55.083333333333336
32.8,39,24.4,28,0,3.7,9.6,22.2,67.45833333333333
33.3,45.9,27,32,0,3.1,15.6,53.5,18.875
32.8,45.2,26.6,37,0,2.3,8.3,18.3,61.5
34.3,44,28,27,0,3.2,10.7,27.8,68.91666666666667
37.9,44.5,31.2,21,0,4,20.6,31.7,77.375
36.6,44.7,28,18,0,3.7,15.7,29.4,63.916666666666664
36.6,44.8,26.5,8,0,3.7,9.4,20.6,63.666666666666664
36.4,44,29,18,0,2.6,10.6,25.9,63.625
33.3,44,26,25,0,2.9,16.9,37,25.458333333333332
33.4,41.8,23.4,27,0.51,3.7,10.4,16.5,20.75
30.1,40.4,23,39,0,3.5,11.1,25.9,40.5
36.8,44,27.5,19,0,3.5,9.4,22.2,64.83333333333333
38.3,46,29.6,16,0,3.5,12.2,25.9,63.0
32.8,46,30,37,0,3.7,16.3,24.1,73.83333333333333
31.8,41.2,25,50,0,3.1,13.1,24.1,31.875
28.3,41.2,24.6,71,10.92,2.7,9.1,22.2,54.958333333333336
31.6,37.7,25,51,0,2.9,9.1,24.1,77.75
36.9,43.4,31,32,1.02,3.4,4.8,9.4,75.33333333333333
35.2,43.4,27.4,42,0,3.1,6.9,20.6,32.583333333333336
35.2,42.2,27,46,4.06,3.4,14.8,24.1,28.375
28.9,37,25,70,0,3.2,11.9,20.6,28.541666666666668
29.9,36.8,25,67,0,3.2,14.4,27.8,51.041666666666664
31.7,38,26.6,59,0,2.6,12.6,24.1,40.0
29.3,36.5,23.6,72,9.91,2.4,11.1,25.9,37.583333333333336
28.7,36.5,25.4,75,0.51,2.4,10,20.6,37.625
31.2,36.8,25,63,8.89,2.6,12.6,20.6,34.375
31.8,37,27,61,0,3.2,11.5,24.1,42.291666666666664
27.7,37,26,89,0.51,2.6,8.5,24.1,45.666666666666664
27.3,31.8,25,91,6.1,2.3,13,22.2,40.625
28.7,36.4,25.9,76,0,2.6,13.1,25.9,26.875
30.9,36.7,24.8,68,3.05,2.6,13.3,22.2,30.708333333333332
32.1,37.6,27,57,0.76,3.4,11.9,20.6,10.208333333333334
27.8,34.7,24,84,18.03,2.1,8.3,16.5,43.041666666666664
28.3,34.7,25,84,0,2.9,8.5,18.3,19.416666666666668
30.1,34.3,26,76,0,3.1,8.3,14.8,8.416666666666666
29.9,33.9,26.2,74,0,2.9,12.4,18.3,0.0
25.6,33.9,23,92,4.06,2.3,18.9,27.8,0.0
24.7,28,23,94,0,2.3,16.5,22.2,4.833333333333333
26.3,29,24,85,0,2.6,12,18.3,15.375
25.6,29,23.4,90,1.02,2.4,8,13,19.833333333333332
26.9,31,24,85,3.05,2.4,8,18.3,25.791666666666668
27.4,31.2,24.2,85,1.02,2.7,10.7,16.5,22.708333333333332
28.6,33,26.2,80,0.51,2.7,9.1,20.6,31.333333333333332
28.7,32.8,25.6,82,0,2.9,8,14.8,47.416666666666664
28.4,33,26,83,0,2.7,9.1,13,33.791666666666664
30.3,34.2,25.6,78,2.03,2.7,5.7,11.1,39.041666666666664
28.4,33.9,25.5,89,0,2.6,4.1,11.1,41.708333333333336
27.5,31,25,90,1.02,2.6,7.2,16.5,28.75
29,35,25,75,0,3.1,10.6,14.8,12.25
28.3,35,25,73,0,3.2,18.9,29.4,14.5
28.4,34,24.9,68,0,3.7,15.2,27.8,23.916666666666668
30.7,36.7,25.6,61,0,2.9,13.9,20.6,27.375
30.6,37,25,63,0,2.9,9.6,14.8,29.208333333333332
31,37,25,61,0,3.4,7.4,11.1,36.5
30.8,37.5,26.6,61,0,3.4,9.6,14.8,27.833333333333332
31.1,36.7,25.3,57,0,2.9,9.1,25.9,44.125
30.3,36.4,25,57,0,2.9,8,14.8,62.25
30.7,37.6,25,49,0,3.2,7.2,14.8,60.125
31.3,38.1,24.8,49,0,3.4,5.4,11.1,34.666666666666664
31.1,37.4,26.4,53,0,2.7,5,11.1,39.208333333333336
32.3,38.4,26.8,45,0,3.2,4.3,9.4,38.708333333333336
32.1,39.7,25.4,47,0,3.1,2.8,9.4,69.95833333333333
32.7,39.7,25,35,0,2.9,6.9,16.5,94.375
33.4,39.7,27.5,35,0,3.1,9.8,18.3,85.75
30.3,35.9,25.6,67,0,2.6,15,22.2,51.666666666666664
30.5,36.9,24.4,56,0,2.9,10.9,18.3,39.416666666666664
30.6,36.9,24.9,57,0,2.9,10,16.5,23.958333333333332
28.7,35.2,22.5,45,0,2.7,10.2,16.5,43.5
29.7,37.1,24.8,43,0,2.9,10.4,18.3,50.416666666666664
29.6,37.1,24.3,45,0,2.9,7.2,13,55.708333333333336
29.7,37.4,20.6,29,0,2.4,4.8,9.4,57.125
29.7,38,20.2,27,0,2.6,4.6,11.1,69.375
30.4,38.9,21.4,27,0,2.9,5.2,13,65.375
30.9,38.2,24.4,34,0,3.1,5.7,18.3,112.29166666666667
30.8,37.4,23,27,0,3.2,5.6,11.1,97.70833333333333
30.8,38.2,23.4,23,0,3.5,10.6,24.1,80.70833333333333
30.1,38.1,23.9,32,0,3.1,7.8,14.8,81.625
30.4,37,23,33,0,3.2,8.5,14.8,65.375
28,37,23.8,52,5.08,2.6,8.9,37,84.375
30.6,38.1,24.9,33,0,3.2,5.9,13,141.95833333333334
30,38.1,22.4,32,0,3.2,5.7,16.5,153.375
27.8,37,22,41,5.08,3.1,6.9,16.5,162.875
28.2,36.9,20.9,26,0,2.9,7.6,13,0.0
27.6,36,21.6,40,0,2.9,8.9,16.5,49.333333333333336
26.2,33.2,20,39,0,2.9,7.8,14.8,107.33333333333333
22.9,28,16,57,0,3.4,6.9,14.8,273.625
24.5,29.8,19.5,48,0,3.2,8.5,16.5,256.9583333333333
25.8,31.8,20,45,0,3.2,8.9,14.8,185.08333333333334
26.3,33.1,20.4,44,0,3.4,5.6,11.1,249.5
25.3,32.3,20,46,0,2.1,13.5,22.2,365.75
25.2,30.8,20.6,46,0,2.3,14.1,16.5,241.875
26.1,31.4,20.3,46,0,2.6,10.2,13,176.875
24.6,32.8,16.4,41,0,2.4,3,13,353.0416666666667
24.4,33.2,16.8,43,0,2.7,5.6,13,257.4166666666667
24.2,33.2,17,47,0,2.7,5.6,14.8,204.75
21.2,30.6,11.8,34,0,2.7,4.1,11.1,207.83333333333334
21.6,30.3,12,34,0,2.7,4.6,14.8,268.1666666666667
21.9,30,12,35,0,2.3,5,11.1,278.3333333333333
21.9,31,14.3,37,0,2.3,3.7,11.1,157.5
21.9,31,14.4,32,0,2.6,7.2,13,156.375
19,29.8,12.4,32,0,3.1,7.4,13,200.5
21.6,28.6,17.1,66,0,1.6,8.7,18.3,212.125
19.8,26.6,15,56,0,1.6,4.8,13,190.5
19.4,26.4,11.4,51,0,1.9,4.1,11.1,236.41666666666666
20.6,31.6,11.4,42,0,2.3,3.3,7.6,286.375
20,30.9,12.2,40,0,2.4,3.1,13,288.0833333333333
21.2,30.9,10.4,41,0,2.4,10.2,14.8,302.4583333333333
14.8,23,5.8,35,0,3.1,3.7,11.1,163.0
15.6,23.4,5.4,28,0,2.9,5.2,11.1,161.375
14.4,23.4,5.3,41,0,2.3,3.9,16.5,157.375
14.3,23,5,42,0,1.9,4.6,9.4,245.91666666666666
14.9,23.1,7,39,0,2.1,4.6,14.8,264.5833333333333
14.3,23.1,6.5,39,0,2.3,4.8,11.1,253.29166666666666
13.2,21,4.2,33,0,2.1,2.8,9.4,181.20833333333334
15.8,25.7,5.2,31,0,2.3,3.7,9.4,210.875
17.8,28.3,8,28,0,2.3,3,13,255.33333333333334
